,02_1,02_2,03_1,05_1,05_2,08_1,08_2,09_1,11_1,11_2
211,58.0,55.0,26.0,91.0,106.0,42.0,54.0,42.0,166.0,188.0
212,40.0,56.0,29.0,101.0,93.0,32.0,52.0,37.0,138.0,148.0
213,40.0,44.0,19.0,79.0,72.0,32.0,45.0,19.0,134.0,151.0
214,36.0,38.0,19.0,85.0,66.0,31.0,45.0,17.0,143.0,154.0
215,46.0,39.0,26.0,82.0,65.0,27.0,44.0,9.0,130.0,124.0
216,53.0,53.0,31.0,91.0,69.0,29.0,51.0,13.0,116.0,118.0
217,35.0,39.0,27.0,90.0,70.0,28.0,43.0,11.0,94.0,95.0
218,32.0,30.0,35.0,75.0,63.0,24.0,24.0,17.0,94.0,88.0
219,31.0,21.0,11.0,52.0,43.0,21.0,31.0,10.0,61.0,63.0
220,31.0,21.0,14.0,65.0,50.0,6.0,15.0,10.0,58.0,54.0
221,27.0,20.0,12.0,63.0,33.0,16.0,25.0,14.0,49.0,30.0
222,28.0,23.0,6.0,58.0,34.0,19.0,21.0,11.0,67.0,53.0
223,25.0,20.0,7.0,40.0,26.0,12.0,18.0,10.0,55.0,36.0
224,25.0,25.0,12.0,57.0,35.0,14.0,26.0,11.0,48.0,29.0
225,26.0,28.0,11.0,50.0,26.0,17.0,26.0,8.0,59.0,40.0
226,20.0,26.0,14.0,59.0,37.0,26.0,36.0,9.0,57.0,48.0
227,19.0,22.0,14.0,69.0,38.0,17.0,26.0,13.0,59.0,50.0
228,24.0,19.0,10.0,76.0,63.0,23.0,35.0,7.0,52.0,25.0
229,24.0,12.0,14.0,56.0,31.0,18.0,26.0,12.0,50.0,27.0
230,15.0,19.0,4.0,51.0,32.0,4.0,11.0,6.0,40.0,21.0
231,19.0,17.0,8.0,33.0,15.0,7.0,22.0,7.0,42.0,33.0
232,20.0,17.0,5.0,31.0,14.0,9.0,21.0,8.0,47.0,26.0
233,10.0,10.0,5.0,24.0,8.0,10.0,13.0,7.0,31.0,15.0
234,14.0,12.0,3.0,29.0,11.0,6.0,18.0,4.0,30.0,15.0
235,12.0,6.0,3.0,17.0,4.0,2.0,20.0,2.0,20.0,7.0
236,9.0,5.0,1.0,12.0,2.0,4.0,12.0,2.0,12.0,1.0
237,4.0,5.0,3.0,10.0,2.0,2.0,6.0,2.0,15.0,4.0
238,8.0,10.0,4.0,10.0,2.0,1.0,10.0,1.0,12.0,5.0
239,2.0,7.0,1.0,6.0,0.0,2.0,3.0,1.0,11.0,2.0
240,3.0,12.0,1.0,7.0,1.0,0.0,6.0,0.0,5.0,2.0
241,5.0,7.0,0.0,3.0,1.0,0.0,7.0,0.0,3.0,1.0
242,2.0,6.0,0.0,5.0,0.0,1.0,6.0,1.0,3.0,2.0
243,2.0,4.0,0.0,1.0,2.0,1.0,4.0,1.0,4.0,0.0
244,2.0,4.0,1.0,3.0,2.0,1.0,5.0,0.0,4.0,0.0
245,1.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,3.0,1.0
246,3.0,2.0,0.0,5.0,1.0,2.0,2.0,2.0,2.0,0.0
247,4.0,0.0,1.0,3.0,0.0,1.0,3.0,0.0,4.0,1.0
248,0.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,3.0,1.0
249,3.0,1.0,1.0,3.0,1.0,5.0,5.0,0.0,2.0,1.0
250,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0
251,3.0,3.0,2.0,4.0,0.0,0.0,0.0,1.0,7.0,2.0
252,4.0,4.0,3.0,8.0,0.0,1.0,3.0,0.0,1.0,0.0
253,4.0,5.0,1.0,10.0,3.0,2.0,4.0,0.0,4.0,1.0
254,4.0,3.0,0.0,14.0,6.0,1.0,4.0,1.0,1.0,1.0
255,4.0,3.0,0.0,11.0,2.0,2.0,2.0,2.0,4.0,2.0
256,4.0,4.0,0.0,21.0,8.0,2.0,2.0,3.0,4.0,0.0
257,4.0,4.0,1.0,23.0,8.0,3.0,3.0,5.0,8.0,4.0
258,10.0,9.0,1.0,40.0,17.0,4.0,3.0,4.0,17.0,2.0
259,16.0,10.0,1.0,63.0,41.0,4.0,8.0,6.0,29.0,9.0
260,15.0,12.0,1.0,71.0,67.0,3.0,12.0,11.0,43.0,21.0
261,18.0,19.0,4.0,113.0,132.0,10.0,12.0,9.0,69.0,27.0
262,23.0,22.0,3.0,155.0,171.0,19.0,18.0,11.0,63.0,36.0
263,25.0,23.0,7.0,175.0,194.0,15.0,27.0,12.0,78.0,38.0
264,28.0,33.0,14.0,163.0,208.0,18.0,23.0,24.0,89.0,75.0
265,29.0,47.0,12.0,186.0,222.0,31.0,46.0,20.0,122.0,80.0
266,50.0,51.0,40.0,202.0,245.0,37.0,57.0,40.0,114.0,100.0
267,44.0,53.0,25.0,148.0,192.0,47.0,66.0,78.0,110.0,104.0
268,46.0,62.0,28.0,185.0,228.0,61.0,78.0,68.0,107.0,117.0
269,55.0,50.0,25.0,154.0,211.0,50.0,83.0,89.0,109.0,100.0
270,66.0,67.0,29.0,165.0,210.0,51.0,64.0,66.0,113.0,96.0
271,44.0,55.0,16.0,171.0,202.0,46.0,63.0,48.0,108.0,86.0
272,45.0,45.0,27.0,130.0,128.0,32.0,56.0,39.0,97.0,92.0
273,36.0,41.0,16.0,134.0,159.0,20.0,30.0,39.0,96.0,64.0
274,50.0,51.0,24.0,136.0,138.0,38.0,59.0,39.0,112.0,71.0
275,44.0,32.0,23.0,113.0,106.0,31.0,47.0,26.0,102.0,84.0
276,42.0,51.0,51.0,115.0,120.0,27.0,49.0,24.0,109.0,78.0
277,47.0,48.0,32.0,107.0,103.0,35.0,44.0,32.0,101.0,87.0
278,45.0,47.0,17.0,98.0,88.0,34.0,60.0,40.0,114.0,97.0
279,47.0,53.0,24.0,96.0,113.0,30.0,50.0,28.0,101.0,73.0
280,47.0,63.0,33.0,124.0,131.0,24.0,37.0,25.0,99.0,67.0
281,45.0,46.0,24.0,110.0,104.0,31.0,51.0,27.0,117.0,80.0
282,41.0,53.0,24.0,100.0,84.0,31.0,53.0,49.0,97.0,100.0
283,48.0,52.0,32.0,116.0,117.0,34.0,50.0,37.0,118.0,93.0
284,41.0,44.0,32.0,110.0,114.0,40.0,56.0,37.0,115.0,90.0
285,42.0,40.0,26.0,116.0,116.0,29.0,47.0,32.0,109.0,100.0
286,47.0,69.0,31.0,114.0,116.0,30.0,67.0,33.0,111.0,94.0
287,4.0,53.0,24.0,125.0,121.0,31.0,58.0,31.0,121.0,103.0
288,57.0,60.0,32.0,123.0,118.0,29.0,55.0,31.0,125.0,128.0
289,59.0,45.0,32.0,129.0,118.0,42.0,66.0,41.0,123.0,108.0
290,62.0,66.0,28.0,117.0,104.0,40.0,47.0,46.0,116.0,101.0
291,55.0,67.0,31.0,119.0,112.0,34.0,53.0,56.0,124.0,118.0
292,57.0,60.0,28.0,137.0,117.0,42.0,65.0,35.0,130.0,130.0
293,52.0,56.0,34.0,123.0,122.0,43.0,63.0,42.0,133.0,154.0
294,55.0,66.0,45.0,134.0,149.0,46.0,64.0,47.0,142.0,136.0
295,53.0,62.0,30.0,136.0,142.0,44.0,73.0,43.0,113.0,119.0
296,47.0,63.0,28.0,145.0,162.0,34.0,63.0,43.0,140.0,157.0
297,54.0,53.0,34.0,139.0,159.0,47.0,79.0,48.0,120.0,105.0
298,57.0,71.0,26.0,126.0,131.0,42.0,66.0,50.0,147.0,165.0
299,58.0,61.0,29.0,119.0,122.0,45.0,62.0,41.0,150.0,143.0
300,60.0,58.0,32.0,143.0,131.0,50.0,58.0,23.0,157.0,186.0
301,61.0,74.0,43.0,129.0,124.0,46.0,64.0,48.0,141.0,174.0
302,59.0,59.0,31.0,130.0,115.0,44.0,66.0,37.0,165.0,190.0
303,61.0,68.0,38.0,151.0,142.0,54.0,71.0,31.0,175.0,195.0
304,67.0,68.0,35.0,136.0,128.0,46.0,70.0,56.0,184.0,202.0
305,60.0,61.0,34.0,129.0,118.0,55.0,66.0,62.0,188.0,216.0
306,58.0,67.0,44.0,121.0,112.0,51.0,67.0,53.0,185.0,213.0
307,59.0,61.0,40.0,91.0,94.0,52.0,83.0,59.0,169.0,181.0
308,48.0,66.0,43.0,117.0,100.0,36.0,63.0,44.0,168.0,193.0
309,49.0,56.0,38.0,102.0,89.0,33.0,55.0,23.0,150.0,167.0
310,46.0,42.0,33.0,88.0,64.0,36.0,48.0,14.0,143.0,142.0
311,40.0,46.0,29.0,108.0,85.0,33.0,50.0,19.0,140.0,133.0
312,42.0,49.0,30.0,88.0,85.0,29.0,48.0,20.0,115.0,105.0
313,47.0,32.0,27.0,73.0,60.0,28.0,46.0,15.0,116.0,102.0
314,37.0,30.0,19.0,82.0,71.0,26.0,35.0,23.0,77.0,72.0
315,36.0,35.0,15.0,84.0,52.0,20.0,45.0,11.0,79.0,62.0
316,33.0,25.0,16.0,59.0,41.0,13.0,32.0,29.0,65.0,67.0
317,33.0,33.0,25.0,58.0,31.0,15.0,35.0,13.0,71.0,49.0
318,32.0,25.0,12.0,56.0,41.0,21.0,35.0,13.0,57.0,39.0
319,29.0,33.0,11.0,60.0,32.0,19.0,22.0,16.0,59.0,39.0
320,30.0,34.0,12.0,49.0,23.0,19.0,22.0,11.0,56.0,45.0
321,27.0,29.0,11.0,58.0,30.0,10.0,23.0,10.0,64.0,46.0
322,37.0,24.0,18.0,70.0,36.0,21.0,30.0,9.0,61.0,37.0
323,27.0,27.0,16.0,69.0,52.0,11.0,24.0,11.0,62.0,40.0
324,16.0,21.0,7.0,57.0,39.0,20.0,19.0,8.0,65.0,43.0
325,23.0,23.0,14.0,55.0,29.0,12.0,25.0,9.0,65.0,29.0
326,17.0,19.0,11.0,54.0,30.0,15.0,22.0,12.0,61.0,46.0
327,21.0,22.0,6.0,39.0,12.0,13.0,17.0,8.0,47.0,23.0
328,20.0,13.0,6.0,43.0,17.0,9.0,13.0,9.0,44.0,25.0
