19.0,54.5,58.0,101.0,84.5,19.0,95.0
17.0,53.0,51.5,94.0,79.0,17.0,90.0
15.0,44.5,45.0,85.0,67.0,16.5,79.5
14.0,37.0,41.0,78.0,56.0,14.0,73.0
13.0,33.0,34.0,72.0,48.0,14.0,67.0
11.0,28.0,29.0,58.0,41.0,13.0,56.0
10.0,24.0,25.0,51.0,34.0,12.0,49.0
9.0,21.0,23.0,44.0,30.0,11.0,43.0
9.0,18.0,22.0,38.0,27.0,9.0,36.0
8.0,15.0,21.0,33.0,25.0,9.0,32.0
7.0,13.0,18.0,29.0,20.0,8.0,28.5
5.0,11.0,16.0,25.0,18.0,7.0,24.5
5.5,9.0,15.0,22.0,16.0,6.0,22.0
6.0,8.0,14.0,19.0,15.0,6.0,19.0
5.0,7.0,11.0,16.0,13.0,5.0,16.0
5.0,6.0,10.0,15.0,11.0,5.0,15.0
4.0,5.0,12.0,14.0,11.0,5.0,15.0
3.0,5.0,12.0,15.0,12.0,6.0,15.0
3.0,5.0,10.0,12.0,11.0,3.0,13.0
3.0,5.0,10.0,12.0,11.0,2.0,13.0
3.0,6.0,9.0,11.0,12.0,3.0,11.0
3.0,5.0,11.0,10.0,13.0,2.0,10.0
3.0,6.0,9.0,10.0,11.0,2.0,10.0
4.0,7.0,10.0,10.0,15.0,2.0,11.0
4.0,8.0,11.0,11.0,17.0,2.0,11.0
4.0,9.0,11.0,10.0,18.0,2.0,10.0
4.0,12.0,8.0,10.0,17.0,2.0,9.0
6.0,14.0,7.0,11.0,18.0,2.0,10.0
4.0,16.0,7.0,13.0,20.0,3.0,11.0
5.0,20.0,10.0,17.0,24.0,3.0,17.0
7.0,30.0,12.0,26.0,35.0,4.0,26.0
8.0,37.0,14.0,34.0,42.0,6.0,32.0
9.0,39.0,16.0,32.0,46.0,6.0,32.0
10.0,42.0,19.0,37.0,53.0,7.0,37.0
14.0,55.0,28.0,43.0,70.0,10.0,42.0
19.0,72.0,33.0,57.0,86.5,15.0,62.0
18.0,82.0,36.0,62.0,98.0,16.0,67.0
21.0,91.0,39.0,78.0,105.0,18.0,83.5
26.0,116.0,47.0,90.0,134.0,23.0,96.0
33.0,130.0,53.0,122.5,149.0,27.0,133.0
32.0,134.5,58.0,114.0,160.0,28.0,126.0
34.0,148.0,63.0,133.0,168.0,30.0,143.0
37.0,171.0,71.0,141.0,193.0,34.0,150.0
42.0,181.0,77.0,167.0,207.0,38.0,175.0
42.0,181.0,81.0,164.0,213.5,39.0,172.0
43.0,191.0,85.0,171.0,219.5,42.0,184.0
46.0,202.0,94.0,178.5,238.0,44.0,189.0
48.0,210.0,96.0,197.0,245.0,48.0,205.0
48.0,206.0,92.0,191.0,240.0,46.0,200.0
49.0,214.0,93.0,201.0,246.0,47.5,210.0
52.0,215.0,97.0,209.0,250.0,49.0,220.5
53.0,224.0,98.0,232.0,254.0,54.0,246.0
52.0,223.0,103.0,228.0,260.0,55.0,239.0
54.0,237.0,101.0,237.5,269.0,53.0,247.0
55.0,234.5,106.0,238.5,268.0,54.0,251.5
54.5,239.0,105.0,247.0,272.0,55.0,259.0
56.0,239.0,104.0,242.0,270.0,54.0,250.0
59.0,239.0,111.0,250.0,277.0,55.0,259.0
59.0,240.5,106.0,249.0,275.0,54.0,259.0
59.0,243.0,107.0,262.0,275.0,57.5,274.0
57.0,236.0,107.0,264.5,271.5,57.0,273.0
58.0,235.0,106.0,263.0,270.0,57.0,276.0
56.0,234.5,107.0,262.0,269.0,56.5,274.5
59.0,223.0,105.0,270.0,256.0,57.0,281.0
57.0,220.0,106.0,271.0,260.0,56.0,280.0
55.0,221.5,106.5,269.0,257.0,58.0,280.0
