location,type,starttime,endtime,coords
Den Haag-Rotterdam,defecte trein,2018-08-09 08:12,2018-08-09 09:46,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-08-08 12:36,2018-08-08 13:11,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,dier op het spoor,2018-08-08 11:32,2018-08-08 12:16,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam-Eindhoven (HSL),wisselstoring,2018-08-07 06:14,2018-08-07 07:18,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,defecte trein,2018-08-06 12:11,2018-08-06 12:33,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-08-05 21:04,2018-08-05 21:09,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,verstoring elders,2018-08-04 10:58,2018-08-04 11:29,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,verstoring elders,2018-08-03 21:01,2018-08-03 21:41,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,verstoring elders,2018-08-03 16:18,2018-08-03 16:36,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag Centraal,seinstoring,2018-08-02 10:21,2018-08-02 10:45,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag HS; Leiden-Den Haag C,aanrijding met een persoon,2018-08-01 17:50,2018-08-01 17:50,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}, 'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Leiden-Den Haag HS; Leiden-Den Haag C,aanrijding met een persoon,2018-08-01 16:47,2018-08-01 20:30,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}, 'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Leiden-Den Haag C,defecte trein,2018-07-31 21:24,2018-07-31 22:13,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,sein-en wisselstoring,2018-07-31 13:57,2018-07-31 16:59,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-07-30 11:45,2018-07-30 11:50,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag HS,defecte trein,2018-07-28 08:42,2018-07-28 09:26,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag-Rotterdam,beperkingen in de materieelinzet,2018-07-28 05:22,2018-07-28 23:16,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,beperkingen in de materieelinzet,2018-07-27 04:23,2018-07-27 23:27,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-07-26 17:58,2018-07-26 18:20,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defect spoor,2018-07-26 16:52,2018-07-26 18:14,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag HS,inzet van hulpdiensten,2018-07-26 16:04,2018-07-26 16:22,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag-Rotterdam,defecte trein,2018-07-26 07:00,2018-07-26 07:57,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,wisselstoring,2018-07-25 18:07,2018-07-25 22:15,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-07-25 07:13,2018-07-25 07:24,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,defecte trein,2018-07-24 21:17,2018-07-24 22:30,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defect spoor,2018-07-24 17:35,2018-07-24 19:55,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-07-24 13:35,2018-07-24 14:28,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defect spoor,2018-07-23 18:10,2018-07-23 20:29,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,sein-en overwegstoring,2018-07-23 15:51,2018-07-23 17:25,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-07-21 17:36,2018-07-21 18:13,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,inzet van hulpdiensten,2018-07-21 15:24,2018-07-21 15:25,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-07-15 10:18,2018-07-15 10:27,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,verstoring elders,2018-07-13 19:34,2018-07-13 20:37,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-07-13 17:08,2018-07-13 17:37,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-07-13 16:32,2018-07-13 16:32,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-07-12 13:50,2018-07-12 13:52,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-07-11 17:42,2018-07-11 17:58,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,defecte trein,2018-07-10 11:38,2018-07-10 12:00,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,defecte trein,2018-07-09 15:42,2018-07-09 16:21,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag Centraal,uitloop van werkzaamheden,2018-07-09 04:53,2018-07-09 05:02,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,inzet van hulpdiensten,2018-07-09 00:44,2018-07-09 01:00,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,verstoring elders,2018-07-06 19:22,2018-07-06 19:43,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-07-04 16:57,2018-07-04 16:57,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,defecte trein,2018-07-03 20:57,2018-07-03 21:03,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-06-30 06:42,2018-06-30 07:14,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,wisselstoring,2018-06-28 16:36,2018-06-28 18:30,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-06-28 11:11,2018-06-28 11:56,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Gouda Goverwelle,herstelwerkzaamheden,2018-06-27 15:58,2018-06-27 16:44,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-06-27 10:13,2018-06-27 10:33,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-06-27 07:38,2018-06-27 08:07,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-06-26 20:24,2018-06-26 20:52,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag Laan v NOI,defecte trein,2018-06-26 17:34,2018-06-26 18:16,"{'Den Haag Laan v NOI': {'latitude': 52.078889, 'longitude': 4.343056}}"
Den Haag-Rotterdam,defecte trein,2018-06-22 10:50,2018-06-22 12:06,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,inzet van de brandweer,2018-06-16 22:15,2018-06-16 23:25,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-06-14 18:26,2018-06-14 19:29,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag HS,eerdere verstoring,2018-06-12 18:10,2018-06-12 19:59,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag-Rotterdam,eerdere verstoring,2018-06-12 17:03,2018-06-12 18:29,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,defecte trein,2018-06-11 18:20,2018-06-11 18:20,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,verstoring elders,2018-06-08 17:15,2018-06-08 17:41,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C; Leiden-Rotterdam,aanrijding,2018-06-08 15:51,2018-06-08 16:45,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,verstoring elders,2018-06-07 20:00,2018-06-07 22:01,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-06-06 21:03,2018-06-06 21:26,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,aanrijding met een persoon,2018-06-06 12:39,2018-06-06 13:24,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,seinstoring,2018-06-06 06:05,2018-06-06 07:41,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,defecte trein,2018-06-05 07:15,2018-06-05 08:29,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,verstoring elders,2018-06-04 12:25,2018-06-04 13:30,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,eerdere verstoring,2018-06-03 15:32,2018-06-03 19:15,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag HS,persoon op het spoor,2018-06-01 13:11,2018-06-01 14:01,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Leiden-Den Haag C,beperkingen in de materieelinzet,2018-06-01 05:19,2018-06-01 06:57,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,persoon op het spoor,2018-05-29 14:34,2018-05-29 14:57,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-05-29 10:27,2018-05-29 12:31,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-05-28 16:17,2018-05-28 17:16,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag HS,defecte trein,2018-05-28 12:55,2018-05-28 13:06,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag-Rotterdam,defecte trein,2018-05-28 07:00,2018-05-28 07:54,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,verstoring elders,2018-05-23 08:49,2018-05-23 09:14,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,sein-en wisselstoring,2018-05-21 13:52,2018-05-21 14:37,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,te grote vertraging,2018-05-18 19:12,2018-05-18 01:09,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte bovenleiding,2018-05-18 14:44,2018-05-18 15:44,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C; Leiden-Rotterdam,verstoring elders,2018-05-18 09:17,2018-05-18 11:33,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,defecte trein,2018-05-17 18:35,2018-05-17 19:35,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,inzet van de politie,2018-05-15 19:38,2018-05-15 21:34,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,aanrijding met een persoon,2018-05-14 11:39,2018-05-14 11:53,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Den Haag-Rotterdam; Amsterdam-Haarlem-Dordrecht; Leiden-Rotterdam; Den Haag-Rotterdam-Breda (HSL); Den Haag-Rotterdam-Eindhoven (HSL); Den Haag-Rotterdam-Dordrecht; Den Haag-Rotterdam-Brussel (HSL),defecte trein,2018-05-10 19:04,2018-05-10 19:11,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,seinstoring,2018-05-09 10:57,2018-05-09 11:19,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,seinstoring,2018-05-09 09:47,2018-05-09 10:14,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-05-08 20:13,2018-05-08 20:57,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,storing in een tunnel,2018-05-05 15:47,2018-05-05 17:14,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,eerdere verstoring,2018-05-05 11:44,2018-05-05 11:58,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-05-05 10:46,2018-05-05 11:43,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag Centraal,defecte trein,2018-05-04 13:11,2018-05-04 13:11,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Gouda Goverwelle,defecte bovenleiding,2018-04-29 19:22,2018-04-29 20:29,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,defecte trein,2018-04-26 09:09,2018-04-26 11:15,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,inzet van hulpdiensten,2018-04-25 13:25,2018-04-25 14:02,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag HS; Leiden-Den Haag C,aanrijding met een persoon,2018-04-21 23:10,2018-04-21 03:27,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}, 'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag-Rotterdam,storing in een tunnel,2018-04-20 20:32,2018-04-20 21:33,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,inzet van hulpdiensten,2018-04-19 17:21,2018-04-19 22:00,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,storing in een tunnel,2018-04-18 20:18,2018-04-18 22:14,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,brandmelding,2018-04-18 18:42,2018-04-18 19:15,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,storing in een tunnel,2018-04-18 09:32,2018-04-18 11:08,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,defecte trein,2018-04-16 12:39,2018-04-16 13:28,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-04-16 11:02,2018-04-16 11:06,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte bovenleiding,2018-04-14 07:51,2018-04-14 10:14,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C; Leiden-Rotterdam,aanrijding met een persoon,2018-04-11 22:04,2018-04-11 01:16,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,inzet van hulpdiensten,2018-04-10 22:53,2018-04-10 23:06,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,wisselstoring,2018-04-10 05:15,2018-04-10 19:44,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-04-05 07:24,2018-04-05 08:31,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,verstoring elders,2018-04-04 09:43,2018-04-04 11:14,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-04-03 14:03,2018-04-03 14:11,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,inzet van hulpdiensten,2018-04-03 09:32,2018-04-03 10:03,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,aanrijding met een persoon,2018-04-02 07:46,2018-04-02 10:00,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,aanrijding met een persoon,2018-03-31 09:52,2018-03-31 13:43,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,brandmelding,2018-03-30 06:09,2018-03-30 06:56,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,inzet van hulpdiensten,2018-03-29 20:45,2018-03-29 20:58,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Gouda Goverwelle,defecte bovenleiding,2018-03-26 17:39,2018-03-26 20:29,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,inzet van hulpdiensten,2018-03-24 06:48,2018-03-24 07:30,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-03-23 15:57,2018-03-23 15:57,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte bovenleiding,2018-03-23 13:50,2018-03-23 17:26,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,defecte trein,2018-03-22 15:09,2018-03-22 15:46,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-03-21 17:36,2018-03-21 18:43,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-03-19 15:27,2018-03-19 16:10,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,beperkingen in de materieelinzet,2018-03-17 15:36,2018-03-17 23:00,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,brandmelding,2018-03-17 07:10,2018-03-17 08:58,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,brandmelding,2018-03-17 06:40,2018-03-17 07:09,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-03-16 17:21,2018-03-16 18:43,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,verstoring elders,2018-03-16 13:45,2018-03-16 14:28,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Utrecht-Den Haag; Gouda-Den Haag; Den Haag-Gouda Goverwelle,defecte trein,2018-03-14 15:03,2018-03-14 15:22,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,herstelwerkzaamheden,2018-03-13 18:55,2018-03-13 20:02,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-03-13 15:12,2018-03-13 15:43,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Rotterdam-Dordrecht,defect spoor,2018-03-12 18:13,2018-03-12 20:50,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,defect spoor,2018-03-12 17:57,2018-03-12 18:13,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-03-12 08:49,2018-03-12 09:27,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,brandmelding,2018-03-11 06:07,2018-03-11 06:57,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,defecte bovenleiding,2018-03-07 18:11,2018-03-07 23:58,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-03-06 17:45,2018-03-06 18:19,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-03-05 21:17,2018-03-05 21:46,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Den Haag-Rotterdam; Amsterdam-Haarlem-Dordrecht; Leiden-Rotterdam; Den Haag-Rotterdam-Breda (HSL); Den Haag-Rotterdam-Eindhoven (HSL); Den Haag-Rotterdam-Dordrecht,defecte trein,2018-03-03 17:44,2018-03-03 17:48,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-03-03 00:48,2018-03-03 00:52,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,inzet van hulpdiensten,2018-03-02 17:22,2018-03-02 18:27,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C; Amsterdam-Schiphol-Den Haag; Amsterdam Zuid-Den Haag; Schiphol-Den Haag; Haarlem-Den Haag,defecte trein,2018-03-02 17:12,2018-03-02 17:27,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag HS,inzet van hulpdiensten,2018-02-28 12:01,2018-02-28 12:11,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Leiden-Den Haag C; Leiden-Rotterdam,verstoring elders,2018-02-24 16:14,2018-02-24 19:14,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,spoedreparatie aan het spoor,2018-02-24 13:27,2018-02-24 14:31,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,herstelwerkzaamheden,2018-02-24 01:44,2018-02-24 04:05,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Amsterdam-Schiphol-Rotterdam (HSL),defecte trein,2018-02-23 22:15,2018-02-23 22:49,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Dordrecht-Breda; Rotterdam-Breda (HSL),defecte trein,2018-02-23 15:11,2018-02-23 16:57,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,verstoring elders,2018-02-23 12:16,2018-02-23 13:31,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte bovenleiding,2018-02-22 19:08,2018-02-22 00:42,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte bovenleiding,2018-02-22 18:09,2018-02-22 19:09,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C; Haarlem-Leiden,defecte trein,2018-02-20 08:56,2018-02-20 10:15,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,wisselstoring,2018-02-18 09:52,2018-02-18 13:28,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Gouda Goverwelle,defecte trein,2018-02-15 08:10,2018-02-15 08:24,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,verstoring elders,2018-02-14 09:04,2018-02-14 10:14,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-02-13 15:21,2018-02-13 15:45,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-02-13 06:56,2018-02-13 08:16,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Gouda Goverwelle,wisselstoring,2018-02-12 08:22,2018-02-12 10:57,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Gouda Goverwelle,herstelwerkzaamheden,2018-02-09 13:43,2018-02-09 15:00,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-02-08 08:39,2018-02-08 08:44,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,seinstoring,2018-02-06 20:04,2018-02-06 22:38,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,inzet van hulpdiensten,2018-02-06 12:13,2018-02-06 12:46,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
