location,type,starttime,endtime,coords
Den Haag HS-Dordrecht,herstelwerkzaamheden,2016-02-19 05:26,2016-02-19 13:00,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Gouda-Den Haag C./Rotterdam C.,herstelwerkzaamheden,2016-02-19 01:22,2016-02-19 05:17,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Rotterdam C.-Den Haag HS/Hoek v H. Strand,wisselstoring,2016-02-18 06:07,2016-02-18 08:03,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
"Amersfoort-Rotterdam C., Schothorst-Den Haag C.",wisselstoring,2016-02-17 17:39,2016-02-17 05:14,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag HS-Rotterdam C.,gestrande trein,2016-02-16 15:45,2016-02-16 19:01,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Utrecht C.-Den Haag C.,verstoring elders,2016-02-15 06:22,2016-02-15 08:32,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Leiden C.,wisselstoring,2016-02-15 05:43,2016-02-15 08:33,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Utrecht C.-Den Haag C.,verstoring elders,2016-02-11 16:54,2016-02-11 18:05,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Dordrecht,defecte trein,2016-02-08 20:03,2016-02-08 20:31,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Gouda,defecte bovenleiding,2016-01-30 16:32,2016-01-30 00:00,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag HS-Den Haag C.,seinstoring,2016-01-29 05:44,2016-01-29 06:32,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}, 'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Utrecht C.-Den Haag C.,verstoring elders,2016-01-27 06:16,2016-01-27 07:06,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
