,11,21,22,31,41,51,61,71,81,82,91,101,111,121,122
81,68.5,50.0,24.0,21.0,23.0,65.5,32.5,26.0,46.0,39.5,22.5,6.0,52.0,41.0,20.0
82,64.0,55.0,27.0,21.0,23.0,63.0,35.0,27.0,49.0,40.0,20.0,8.0,53.0,41.0,19.0
83,61.5,50.0,23.0,22.0,21.0,61.5,32.5,25.0,46.0,38.0,20.5,7.0,51.5,39.0,19.0
84,65.0,49.0,24.0,22.0,22.0,61.0,31.0,27.5,45.5,38.0,21.0,8.0,54.0,42.0,20.0
85,65.0,49.0,23.0,21.5,23.0,62.0,32.0,28.5,47.5,38.0,22.5,6.5,56.0,43.0,20.0
86,65.0,52.0,25.5,23.5,24.0,63.0,34.0,30.0,47.0,39.0,22.0,8.0,58.0,44.0,20.5
87,66.0,51.0,24.0,23.0,23.0,61.5,34.0,29.0,46.0,39.0,22.0,7.0,56.0,44.0,22.0
88,67.0,52.0,24.0,24.0,24.0,61.0,37.0,30.0,48.0,41.0,23.0,8.0,63.0,44.0,21.0
89,70.0,54.0,25.5,24.0,24.0,65.0,36.0,32.0,48.0,41.5,21.5,8.0,60.0,43.5,22.0
90,69.0,55.5,27.0,28.0,27.0,67.0,39.0,29.0,51.0,44.5,22.0,9.0,67.0,45.0,24.5
91,71.0,53.0,28.0,25.0,24.0,63.0,36.0,33.0,52.0,42.0,23.0,8.0,63.0,44.0,23.0
92,73.0,54.0,28.0,23.0,25.0,67.0,36.0,33.0,52.0,41.0,22.0,9.0,66.0,48.0,26.0
93,71.0,55.0,27.0,23.0,25.0,71.0,36.0,30.0,51.0,41.0,24.0,9.0,63.0,47.0,23.0
94,73.0,57.0,31.0,27.0,24.0,73.0,38.0,32.0,52.0,43.0,24.0,9.0,68.0,47.0,24.0
95,73.0,54.0,28.0,24.5,25.0,75.0,39.0,34.0,53.0,42.0,24.0,9.0,65.0,46.0,25.0
96,72.0,56.0,28.0,26.0,27.0,75.0,37.0,35.0,50.0,39.0,26.0,10.0,71.0,48.0,24.0
97,76.0,55.0,29.0,25.0,25.0,69.0,37.0,33.0,53.0,46.0,25.0,8.0,69.0,47.0,27.0
98,74.0,57.0,29.0,26.0,25.0,71.0,40.0,35.0,52.0,42.0,22.0,10.0,74.0,50.0,26.0
99,74.0,58.0,32.0,26.0,25.0,71.0,38.0,35.0,51.0,44.0,23.0,9.0,71.0,50.0,26.0
100,77.0,63.0,37.0,26.0,25.0,74.0,45.0,37.0,56.0,48.0,23.0,10.0,77.0,51.0,28.0
