,11,12,21,22,31,51,61,71,81,82,91,92,101,111,121,122
81,15.0,4.0,67.5,61.5,26.0,19.0,8.0,10.0,62.5,45.5,28.0,10.0,61.5,15.0,20.0,8.0
82,14.0,4.0,66.0,57.0,26.0,20.0,7.0,11.0,64.0,48.0,26.0,9.0,55.0,14.0,18.0,8.0
83,15.0,4.0,62.5,47.0,24.0,21.0,7.0,9.0,64.5,49.5,26.0,8.0,40.5,12.0,16.0,6.0
84,14.0,3.0,63.0,47.0,24.0,23.0,8.0,9.0,65.0,49.0,27.0,9.0,37.0,12.0,14.0,6.0
85,15.0,3.0,63.0,48.0,26.0,22.0,8.0,9.0,66.0,47.0,25.0,8.0,37.0,12.0,16.0,5.0
86,15.0,4.0,62.0,47.0,26.0,20.0,8.0,11.0,68.0,51.0,27.0,8.0,36.0,13.0,15.0,6.0
87,15.0,4.0,62.0,47.0,27.0,21.0,8.0,10.0,68.0,50.0,27.0,9.0,32.0,11.0,13.0,6.0
88,15.0,3.0,61.0,45.5,26.0,22.0,7.0,12.0,69.5,51.0,28.0,8.0,31.0,12.0,14.0,6.0
89,15.0,4.0,63.0,47.0,29.0,21.0,8.0,12.0,68.0,49.0,27.0,9.0,33.0,12.0,14.0,6.0
90,16.0,4.0,62.0,48.5,28.0,19.0,8.0,11.0,69.5,52.5,30.0,10.0,35.0,12.0,15.0,7.0
91,17.5,3.0,61.0,46.5,29.0,19.0,7.0,10.0,72.0,49.0,29.0,9.0,34.5,12.0,13.5,6.0
92,17.5,3.5,63.0,48.0,29.0,19.0,8.0,12.0,72.0,53.0,31.0,10.0,34.5,12.0,14.0,6.0
93,18.0,4.0,64.0,51.0,29.0,22.0,9.0,11.0,71.0,50.0,29.0,9.0,36.0,12.0,15.0,6.0
94,17.0,4.0,65.0,51.0,28.0,27.0,8.0,9.0,76.0,52.0,29.0,9.0,34.0,12.0,15.0,7.0
95,16.0,4.0,64.0,50.0,28.0,20.0,7.0,9.0,71.0,49.0,29.0,9.0,33.0,13.0,15.0,7.0
96,17.0,4.0,64.0,51.0,28.0,25.0,8.0,9.0,72.0,52.0,31.0,9.0,32.0,14.0,15.0,7.0
97,18.0,4.0,63.0,52.5,28.0,20.0,8.0,10.0,71.0,50.0,29.5,9.0,35.0,14.0,17.0,8.0
98,18.5,4.0,65.0,52.5,30.0,19.0,7.0,10.0,73.0,52.0,31.0,10.0,35.0,13.0,16.0,7.5
99,17.0,4.0,63.0,53.0,31.0,21.0,7.0,9.0,75.0,54.0,32.0,11.0,34.0,13.0,18.0,8.0
100,18.0,4.0,63.0,54.0,30.0,22.0,8.0,10.0,78.0,57.0,34.0,11.0,35.0,13.0,18.0,9.0
