,11,12,31,32,41,42,51,52,61,111,112,121,122
99,82.0,96.0,134.0,147.0,200.0,196.0,50.0,36.0,13.0,36.0,70.0,84.0,95.0
100,88.0,102.0,136.0,149.0,213.0,212.0,53.0,41.0,14.0,37.0,74.0,89.0,102.0
101,88.0,107.0,144.0,158.0,217.0,215.0,53.0,39.0,16.0,39.0,73.0,90.0,106.0
102,87.0,105.0,136.0,151.0,219.0,222.0,54.0,40.0,21.0,37.0,71.0,95.0,115.0
103,85.0,96.0,129.0,141.0,228.0,240.0,52.0,39.0,14.0,42.0,79.0,105.0,130.0
104,88.0,99.0,134.0,146.0,236.0,250.0,53.0,42.0,13.0,45.0,83.0,115.0,137.0
105,93.0,107.0,137.0,150.0,242.0,261.0,53.0,42.0,13.0,46.0,83.0,125.0,142.0
106,101.0,121.0,138.0,151.0,238.5,259.5,55.0,43.0,15.0,49.5,85.0,126.5,142.0
107,106.5,119.0,137.0,146.0,239.5,261.0,56.5,44.5,13.0,50.0,92.0,133.0,149.0
108,110.5,133.5,141.5,150.0,234.0,252.0,57.0,45.5,13.0,49.0,91.0,127.0,142.5
109,110.0,130.0,147.0,156.0,231.0,242.0,61.0,50.0,14.0,49.0,94.0,119.0,135.0
110,115.0,140.0,148.0,153.0,231.0,239.0,60.0,47.0,15.0,46.0,92.0,113.0,130.0
111,115.0,137.0,146.0,154.5,229.0,237.0,65.0,50.0,14.0,44.0,90.0,112.0,124.0
112,117.5,143.0,145.5,150.0,241.0,250.5,68.0,55.0,15.0,47.0,89.0,121.0,132.0
113,113.0,139.0,145.0,146.5,239.5,242.0,70.0,55.0,16.0,44.5,88.5,108.0,123.5
114,111.0,144.0,154.5,157.5,225.5,223.0,62.5,49.5,18.0,41.5,84.0,100.0,111.0
115,110.5,143.0,161.0,163.5,205.5,196.5,59.5,44.0,15.0,41.0,86.0,97.0,106.0
116,101.0,129.5,161.5,169.0,200.0,192.0,55.0,40.0,16.0,38.0,79.5,96.0,102.0
117,92.0,120.5,169.5,174.0,174.0,162.0,47.0,33.0,11.5,34.5,77.0,79.5,83.0
118,79.0,96.0,161.5,171.0,164.0,142.0,43.0,27.0,10.0,33.0,69.0,69.0,73.0
119,68.0,82.0,153.0,164.0,151.0,121.0,40.0,24.0,10.0,29.0,63.0,65.0,64.0
120,60.0,71.0,138.0,147.0,146.0,121.0,37.0,21.0,9.0,26.0,53.0,60.0,55.0
121,55.0,58.0,122.0,131.0,138.0,106.0,35.0,17.0,8.0,24.0,52.0,57.0,45.0
122,47.0,47.0,107.0,111.0,131.0,96.0,34.0,17.0,8.0,22.0,45.0,51.0,41.0
123,41.5,38.0,89.5,92.0,127.0,96.0,33.0,15.0,7.0,20.0,39.0,50.5,36.0
124,39.5,36.0,86.0,87.0,125.0,87.5,32.0,14.0,7.0,17.0,34.5,46.0,31.0
125,37.0,30.0,79.0,80.0,120.0,84.0,30.0,13.0,4.0,16.0,33.0,47.0,33.0
126,35.0,28.5,78.0,77.5,117.5,79.0,30.5,12.0,5.0,15.0,29.0,44.5,26.0
127,36.5,30.0,72.5,71.0,122.0,82.0,33.0,13.5,4.0,15.0,29.5,43.5,26.0
128,37.0,32.0,77.0,77.0,121.0,84.0,32.0,13.0,5.0,15.0,31.0,42.0,25.0
129,36.0,29.0,72.0,71.0,118.0,79.0,32.0,12.0,4.0,15.0,31.0,46.0,27.0
130,33.0,31.5,74.5,74.5,117.5,86.0,34.0,14.0,5.0,15.0,31.5,45.5,27.0
131,35.0,30.0,74.0,71.0,124.5,87.0,34.0,15.0,4.0,15.0,34.0,45.0,28.5
132,35.0,29.0,75.0,72.0,118.0,82.0,33.0,14.0,5.0,16.0,34.0,43.0,27.0
133,35.0,29.0,66.0,63.0,110.0,76.0,31.0,13.0,3.0,14.0,30.0,37.0,22.0
134,27.0,20.0,58.5,55.5,106.0,74.0,28.5,11.0,4.5,12.0,27.0,40.0,21.0
135,27.0,17.5,51.0,48.0,121.5,82.5,24.0,9.0,3.0,12.0,25.0,50.0,28.5
136,23.0,15.0,46.0,42.0,90.0,53.5,21.0,6.0,3.0,9.0,24.0,39.5,19.0
137,19.0,11.0,39.0,32.0,63.0,33.0,18.0,4.0,2.0,9.0,21.0,29.0,13.0
138,15.0,9.0,31.0,25.0,52.0,22.0,14.0,2.0,2.0,7.0,15.0,21.0,5.0
139,13.0,7.0,25.0,18.0,45.0,16.0,12.0,2.0,1.0,5.0,11.0,16.0,4.0
140,11.0,6.0,22.0,16.0,35.0,11.0,11.0,1.0,2.0,4.0,9.0,13.0,3.0
141,9.0,4.0,18.0,12.0,30.0,9.0,8.0,1.0,1.0,4.0,8.0,10.0,2.0
142,7.0,4.0,15.0,9.0,25.0,7.0,8.0,0.0,0.0,2.5,6.0,8.0,1.0
143,7.0,3.0,12.0,6.0,22.0,5.0,7.0,0.0,0.0,2.0,5.0,9.0,1.0
144,6.0,3.0,11.0,5.0,18.0,4.0,6.0,0.0,0.0,2.0,5.0,9.0,1.0
145,5.0,3.0,9.0,4.0,15.0,3.0,5.0,0.0,0.0,2.0,4.0,7.0,1.0
146,5.0,2.0,7.0,3.0,13.0,3.0,4.0,0.0,0.0,2.0,3.0,6.0,1.0
147,4.0,2.0,6.0,3.0,14.0,2.0,4.0,0.0,0.0,2.0,4.0,6.0,1.0
148,3.0,1.0,5.0,2.0,14.0,2.0,4.0,0.0,0.0,1.0,3.0,6.0,0.0
149,3.0,1.0,5.0,2.0,11.0,2.0,3.0,0.0,0.0,1.0,3.0,5.0,0.0
150,3.0,2.0,3.0,2.0,9.0,2.0,3.0,0.0,0.0,1.0,2.0,5.0,0.0
151,3.0,1.0,4.0,2.0,13.0,2.0,3.0,0.0,0.0,1.0,2.0,5.0,0.0
152,4.0,1.0,4.0,2.0,14.0,2.0,4.0,0.0,0.0,1.0,2.0,6.0,0.0
153,4.0,2.0,4.0,2.0,10.0,2.0,3.0,0.0,0.0,1.0,2.0,7.0,0.5
154,4.0,2.0,4.0,1.0,9.0,1.0,3.0,0.0,0.0,1.0,2.0,6.0,0.0
155,3.0,2.0,4.0,1.0,9.0,1.0,5.0,0.0,0.0,1.0,2.0,7.0,0.0
156,6.0,3.0,5.0,2.0,11.0,2.0,8.5,0.0,0.0,1.0,3.0,10.5,1.0
157,10.0,4.0,6.0,2.0,15.0,3.0,9.0,0.0,0.0,1.0,3.0,9.0,1.0
158,10.0,4.0,10.0,4.0,17.0,3.0,7.5,0.0,0.0,2.0,4.0,9.0,1.0
159,9.0,5.5,11.0,3.0,28.0,8.0,13.0,1.0,0.0,2.0,5.0,14.0,3.0
160,21.5,17.0,17.0,9.0,34.5,11.0,26.0,5.0,0.0,3.0,7.0,22.0,6.0
161,30.0,24.0,31.0,14.0,45.5,21.0,20.0,4.0,0.0,3.5,8.0,26.0,10.0
162,36.0,30.0,48.0,33.0,61.5,35.0,23.0,6.0,3.0,5.0,12.0,32.0,14.0
163,60.5,49.0,61.0,56.0,82.0,57.5,37.0,16.0,2.0,7.0,16.5,42.5,24.5
164,104.0,116.0,110.0,122.0,96.0,79.0,52.0,35.5,4.0,10.0,26.0,55.0,53.5
165,125.0,160.0,146.0,181.0,123.0,117.0,47.0,37.0,4.0,14.0,38.0,68.0,81.0
166,110.0,159.0,155.5,192.0,136.5,138.0,42.0,34.0,6.0,18.5,46.0,80.0,100.0
167,100.0,153.0,141.0,171.0,158.0,168.0,38.0,30.0,7.0,19.0,52.0,93.0,113.0
168,97.0,160.0,152.0,181.0,183.0,203.5,42.0,31.0,9.0,22.0,60.0,101.5,128.0
169,94.0,152.5,159.0,185.0,199.0,226.0,43.0,32.0,11.0,27.0,69.0,110.0,134.0
170,92.0,146.0,158.0,179.0,204.0,234.0,43.0,32.5,17.0,30.0,71.0,110.0,135.5
171,90.5,142.5,164.5,184.5,207.0,232.5,45.0,35.0,20.0,34.0,70.0,109.0,135.0
172,90.0,141.0,161.0,177.0,201.0,227.0,47.5,38.0,34.0,38.0,79.0,108.5,131.5
173,81.0,130.0,166.0,183.5,197.5,226.0,47.0,35.0,22.0,47.0,87.0,112.5,132.5
174,82.5,129.0,160.0,174.0,188.0,211.5,43.0,36.0,26.0,53.0,90.0,106.5,131.5
175,74.0,113.5,162.0,172.0,179.5,196.0,39.5,30.0,18.0,46.0,79.5,88.5,110.5
176,75.0,110.0,157.5,171.0,170.0,183.5,39.0,29.5,15.0,41.0,75.0,81.5,99.5
177,74.0,101.0,169.5,184.0,166.0,167.0,41.0,29.0,14.0,40.0,74.5,79.0,95.5
178,74.0,96.0,162.0,175.0,162.0,153.0,41.0,28.0,14.0,39.0,72.0,76.0,88.0
179,72.0,82.0,143.0,156.0,161.0,153.0,41.0,26.0,13.0,36.0,67.0,74.0,83.0
180,74.0,80.0,147.0,157.0,162.0,151.0,41.0,27.0,12.0,36.0,66.0,69.0,80.0
181,76.0,81.0,152.0,165.0,168.0,151.0,44.0,27.0,12.0,38.0,70.0,71.0,83.0
182,77.0,87.5,153.0,168.0,166.0,154.0,43.0,28.0,13.5,38.0,69.0,70.5,77.0
183,75.0,79.5,139.0,147.5,176.0,161.0,43.0,28.0,13.0,36.0,66.5,74.0,82.0
184,74.0,79.5,142.5,148.0,177.5,166.0,46.0,31.0,15.5,36.0,68.0,73.0,83.0
185,79.5,85.0,145.5,157.5,180.0,167.0,46.5,32.0,14.0,38.0,68.0,75.0,85.5
186,82.0,94.0,147.0,164.0,185.0,174.5,46.0,32.0,18.0,37.5,73.0,73.0,84.0
187,82.0,96.0,143.5,158.5,190.5,186.5,47.0,34.0,16.0,39.0,72.5,80.0,93.0
188,89.0,103.5,147.0,161.5,193.0,187.5,47.0,35.0,19.0,40.0,72.0,80.0,96.0
189,88.0,105.0,154.0,171.0,190.0,182.5,49.0,34.0,16.0,39.0,75.0,81.0,94.0
190,86.0,104.0,155.0,169.5,187.5,179.5,47.5,32.5,15.0,39.0,74.0,83.0,97.5
191,85.0,101.0,147.0,160.0,195.0,182.0,50.0,33.0,13.0,38.0,73.0,80.0,89.0
192,88.0,107.0,149.0,159.0,193.0,189.0,49.0,33.0,14.0,39.0,72.0,80.0,94.0
193,90.0,107.0,157.0,171.0,192.0,177.0,51.0,36.0,14.0,40.0,76.0,82.0,96.0
194,87.0,104.0,151.0,165.0,189.0,179.0,51.0,37.0,15.0,40.0,74.0,81.0,94.0
195,84.0,96.0,142.0,155.0,198.0,191.0,52.0,36.0,14.0,37.0,72.0,84.0,98.0
196,86.0,100.0,139.0,154.0,209.0,203.0,54.0,40.0,13.0,38.0,76.0,87.0,103.0
197,83.0,98.0,145.0,159.0,211.0,207.0,55.0,41.0,14.0,39.0,74.5,90.5,108.0
198,84.5,97.0,141.0,156.0,218.0,222.5,54.0,40.0,15.0,38.5,74.0,93.0,113.0
199,84.0,96.0,136.0,145.0,230.0,234.0,55.0,40.0,13.0,39.0,79.0,104.0,124.0
200,90.0,100.0,135.0,148.0,235.5,249.0,55.0,41.0,14.0,45.0,81.0,110.5,135.0
201,96.0,111.0,141.0,153.0,240.0,256.0,53.0,41.0,13.0,49.0,86.0,121.0,137.0
202,99.5,115.5,141.0,152.5,237.5,258.0,54.5,42.0,16.0,52.0,86.5,127.5,143.5
203,106.0,118.0,135.5,148.0,235.0,257.0,57.0,45.0,14.5,48.5,92.0,133.0,145.5
204,111.0,126.0,142.0,154.0,235.0,248.0,58.5,45.0,14.0,46.5,91.0,119.0,136.0
205,110.0,132.0,149.0,159.0,228.0,240.0,59.0,44.0,14.0,45.0,95.0,112.0,129.0
206,112.0,136.0,150.0,157.0,224.5,226.0,60.0,45.5,15.0,44.0,93.5,107.5,124.0
207,111.0,133.0,153.0,161.0,228.0,231.0,61.0,47.0,14.0,44.0,95.0,109.5,121.5
208,113.0,137.5,148.5,153.5,240.5,251.0,65.5,51.0,16.0,44.0,90.5,115.5,129.0
209,115.0,143.0,158.5,162.0,233.0,241.0,63.0,50.0,16.0,44.0,85.0,102.5,119.0
210,113.0,143.0,163.0,167.0,218.0,216.0,60.0,45.0,16.0,40.0,85.0,95.0,105.0
211,105.0,135.0,164.0,170.0,203.0,195.0,54.0,39.0,15.0,39.0,85.0,95.0,104.0
212,96.0,123.5,162.0,168.5,198.0,190.0,51.0,35.5,13.0,39.5,85.0,93.0,103.0
213,83.0,108.5,167.0,176.0,178.5,164.5,46.0,29.0,11.0,36.0,78.5,80.0,84.0
214,71.0,86.0,163.5,171.5,161.0,140.0,43.0,27.0,10.0,33.0,71.0,70.5,72.0
215,66.0,77.0,153.0,161.0,154.5,125.5,40.0,24.0,10.0,30.0,62.0,63.0,62.0
216,59.0,66.0,144.0,152.0,152.0,121.0,39.0,22.0,9.0,27.0,57.0,62.0,56.0
217,53.0,53.5,128.0,136.5,140.5,110.0,36.5,19.0,8.0,25.0,57.0,57.0,51.5
218,48.0,46.0,112.0,119.0,137.5,102.0,35.0,18.5,7.0,23.0,47.5,58.0,47.0
219,43.0,39.0,95.0,96.5,133.0,101.5,32.5,15.0,6.0,18.0,40.5,52.5,36.5
220,41.0,36.0,88.5,89.0,130.0,93.0,32.5,14.0,6.0,19.5,39.5,46.0,32.0
221,37.0,32.0,80.0,81.0,123.0,87.0,32.0,13.5,5.0,18.0,36.5,46.0,28.5
222,36.0,33.5,80.0,81.0,119.0,82.5,32.0,13.0,5.0,16.0,34.0,46.5,29.0
223,35.5,30.5,75.0,76.0,124.0,88.5,33.0,13.0,4.0,16.0,33.0,44.5,28.0
224,36.0,33.0,77.0,77.0,126.0,87.0,32.5,14.0,5.0,15.0,34.0,43.0,26.0
225,35.0,31.0,75.0,74.0,123.5,85.5,32.0,14.0,4.0,15.0,31.0,44.0,27.5
226,34.5,32.0,78.0,76.5,124.0,85.5,33.0,14.5,5.0,15.0,31.0,42.0,25.0
227,35.0,29.0,76.0,74.0,127.0,90.5,34.0,16.0,3.0,15.0,34.0,45.0,24.5
228,35.0,30.0,76.5,75.0,128.5,90.5,35.0,15.0,5.0,16.0,33.0,44.0,23.5
229,35.0,30.0,68.0,68.0,120.0,88.0,34.0,15.0,3.0,14.5,31.0,38.0,24.0
230,29.0,23.0,64.0,58.0,123.0,84.0,30.0,12.0,4.0,14.0,28.0,36.0,21.0
231,26.0,19.0,56.0,51.0,140.5,97.0,27.0,10.0,3.0,12.0,27.0,52.0,33.5
232,24.0,16.5,52.0,47.0,105.5,63.0,24.0,7.0,4.0,10.0,26.0,43.5,24.0
233,19.0,13.0,42.0,35.0,69.0,37.0,21.0,5.0,2.0,9.0,21.0,29.0,12.0
234,16.0,10.0,35.0,27.0,53.0,25.0,16.0,3.0,3.0,7.0,17.0,23.0,7.0
235,14.0,7.0,28.0,20.0,46.0,17.0,14.0,2.0,1.0,5.0,12.0,17.0,4.0
236,11.0,6.0,23.5,16.0,39.0,12.5,11.0,1.5,2.0,4.5,9.0,14.0,3.0
237,9.0,5.0,19.0,13.0,33.0,10.0,10.0,1.0,1.0,4.0,8.0,11.0,2.0
238,8.0,4.0,16.0,9.0,27.0,8.0,8.0,0.0,1.0,3.0,6.0,9.0,1.0
239,7.0,4.0,12.0,8.0,24.0,7.0,8.0,0.0,0.0,2.0,6.0,8.0,1.0
240,6.0,4.0,11.0,6.0,21.0,5.0,7.0,0.0,0.0,2.0,5.0,8.0,1.0
241,6.0,3.0,9.0,5.0,18.0,4.0,6.0,0.0,0.0,2.0,4.0,8.0,1.0
242,5.0,3.0,7.0,4.0,15.0,3.0,5.0,0.0,0.0,2.0,5.0,7.0,1.0
243,4.0,3.0,7.0,3.0,15.0,4.0,4.0,0.0,0.0,1.0,4.0,6.0,1.0
244,5.0,3.0,6.0,2.0,14.0,2.0,4.0,0.0,0.0,1.0,3.0,6.0,1.0
245,4.0,2.0,5.0,2.0,12.0,2.0,3.0,0.0,0.0,1.0,2.0,5.0,0.0
246,4.0,2.0,4.0,2.0,10.5,1.5,2.0,0.0,0.0,1.0,2.0,5.0,0.0
247,3.0,2.0,4.0,2.0,13.0,2.0,3.0,0.0,0.0,1.0,2.0,6.0,0.0
248,4.0,2.0,4.0,2.0,15.0,3.0,3.0,0.0,0.0,1.0,2.0,7.0,1.0
249,4.0,2.0,4.5,1.0,11.0,2.0,3.0,0.0,0.0,1.0,2.0,8.0,1.0
250,4.0,2.0,5.0,2.0,9.0,1.5,2.5,0.0,0.0,1.0,2.0,6.0,0.0
251,4.0,2.0,4.0,2.0,9.5,1.5,4.0,0.0,0.0,1.0,2.0,7.0,0.0
252,5.0,3.0,5.0,2.0,11.0,2.0,6.0,0.0,0.0,1.0,3.0,8.0,1.0
253,6.0,4.0,7.0,2.0,17.0,4.0,9.0,0.0,0.0,1.0,3.0,10.0,1.0
254,7.0,4.0,10.0,3.0,17.0,4.0,7.5,0.0,0.0,1.0,4.0,10.0,1.0
255,11.0,6.0,12.0,4.0,28.0,8.0,14.0,1.0,0.0,2.0,5.0,12.0,2.0
256,23.0,20.0,18.0,9.0,33.0,11.0,24.0,4.0,0.0,3.0,7.0,22.0,6.0
