,11,21,22,81,82,91,101,121
190,44.0,143.0,85.0,63.5,17.0,36.0,12.0,8.0
191,41.0,131.0,75.0,65.0,18.0,38.0,11.0,6.5
192,41.0,131.0,77.0,60.0,17.0,35.0,12.0,7.0
193,42.0,136.0,76.0,62.0,17.0,37.5,11.0,7.0
194,43.0,138.0,78.0,62.0,15.0,40.0,12.0,8.0
195,40.0,133.0,75.0,64.0,17.0,33.0,13.0,7.0
196,40.0,131.0,76.0,61.0,17.0,35.0,12.0,7.0
197,40.0,134.5,80.0,64.0,18.0,38.0,12.0,7.0
198,40.5,130.5,80.0,64.0,18.0,40.0,12.0,7.0
199,39.0,125.5,76.0,71.5,21.0,37.0,11.0,8.0
200,40.0,129.0,80.5,68.0,23.0,37.0,12.0,10.0
201,42.0,135.0,81.0,72.0,26.0,43.0,12.0,9.0
202,43.0,138.0,85.0,69.0,22.0,44.0,13.0,9.0
203,43.0,137.5,87.0,66.0,20.0,41.0,13.0,8.0
204,42.0,139.5,85.5,59.5,18.0,40.0,14.0,9.0
205,42.0,143.0,84.5,56.0,15.0,39.5,13.0,10.0
206,42.0,149.0,88.0,55.0,15.0,38.0,13.0,10.0
207,42.0,145.0,87.0,58.0,19.0,37.0,15.0,10.0
208,44.0,147.5,89.0,53.5,17.0,41.0,15.0,11.0
209,45.0,145.0,86.0,50.0,16.0,45.0,14.0,11.0
210,44.0,148.0,91.0,49.0,15.0,43.0,16.0,12.0
211,43.0,148.0,89.5,50.0,15.0,30.0,17.0,11.0
212,40.0,148.0,87.0,51.0,16.0,29.0,16.0,11.0
213,37.0,147.5,83.0,51.5,14.0,23.0,14.0,10.0
214,35.0,141.0,78.0,48.0,11.0,23.0,13.0,9.0
215,31.0,133.0,74.0,46.0,10.0,21.0,13.0,7.0
216,28.0,127.0,69.5,45.0,11.0,19.0,11.0,7.0
217,24.0,108.0,60.0,44.5,10.0,17.0,8.0,6.0
218,21.0,98.0,56.0,45.0,10.0,17.0,7.0,5.0
219,19.0,84.0,47.0,45.0,8.0,15.0,6.0,4.0
220,17.0,76.0,43.0,42.0,7.0,13.0,5.0,3.0
221,14.0,70.0,38.0,40.0,6.0,11.0,5.0,2.0
222,12.0,68.0,40.0,37.0,6.0,10.0,5.0,3.0
223,12.0,64.0,36.0,40.0,6.0,10.0,3.0,2.0
224,12.0,61.0,35.0,38.0,6.0,9.0,4.0,3.0
