,11,21,31,51,52,53,61,81,82,91,111,112,113,121
122,30.0,42.0,52.0,51.0,49.0,24.0,20.0,16.0,13.0,11.0,24.0,49.0,34.0,28.0
123,26.0,39.5,45.0,48.0,44.0,21.5,19.0,17.0,12.0,10.0,21.0,45.0,29.0,26.0
124,24.0,37.0,39.0,44.0,40.0,20.0,18.5,17.0,12.0,10.0,20.0,40.5,26.0,25.0
125,22.0,36.0,36.0,43.0,40.0,18.0,17.5,17.0,11.0,10.0,18.0,41.0,23.5,22.0
126,21.0,34.0,33.0,41.0,39.0,17.0,17.0,17.0,11.0,9.0,16.0,41.0,22.0,20.0
127,20.0,34.0,32.0,40.0,36.0,17.0,16.0,16.0,11.0,9.0,16.0,39.0,22.0,21.0
128,19.0,31.0,30.0,40.0,37.0,15.0,16.0,16.0,10.0,9.0,18.0,38.5,22.0,21.0
129,18.5,30.0,28.0,39.0,38.0,15.0,15.0,16.0,10.0,9.0,17.0,38.5,24.0,21.0
130,17.0,30.0,28.0,36.0,34.0,15.0,16.0,17.0,10.0,8.0,17.0,40.0,21.0,20.0
131,15.0,27.0,24.0,36.0,34.0,13.0,14.0,17.0,9.0,8.0,16.0,40.0,21.0,21.0
132,14.5,25.0,25.0,33.0,32.0,11.0,14.0,17.0,9.0,7.0,15.0,39.0,21.0,18.5
133,13.0,23.0,20.5,30.0,29.0,10.0,13.0,17.0,8.0,6.0,14.0,37.0,18.0,18.0
134,11.0,21.0,19.0,30.0,26.0,9.0,11.0,16.0,8.0,6.0,14.0,34.0,16.0,16.0
135,11.0,20.5,17.0,29.0,27.0,8.0,10.0,15.0,7.0,5.0,12.0,31.0,14.5,15.0
136,10.0,18.5,15.0,27.0,24.0,7.0,11.0,15.0,7.0,5.0,12.0,30.0,12.0,13.0
137,8.0,17.0,13.0,23.0,21.0,6.0,9.0,14.0,6.0,4.0,11.0,26.0,10.0,14.0
138,7.0,15.0,12.0,21.0,17.0,4.0,7.5,13.0,5.0,3.0,9.0,23.0,8.0,11.0
139,6.0,13.0,10.0,18.0,15.0,4.0,6.0,12.0,4.0,3.0,7.0,20.0,7.0,9.0
140,5.0,13.0,9.0,16.0,14.0,3.0,6.0,11.0,4.0,3.0,6.0,19.0,5.5,8.0
141,4.0,12.0,8.0,13.0,12.0,2.0,5.0,13.0,4.0,2.0,5.0,16.0,4.0,7.0
142,4.0,10.0,7.0,11.0,11.0,2.0,5.0,11.0,3.0,2.0,4.0,14.0,4.0,6.0
143,3.0,8.0,6.0,10.0,10.0,2.0,3.0,10.0,2.0,2.0,3.0,13.0,3.0,5.0
144,3.0,7.0,5.0,9.0,9.0,1.0,3.0,9.0,2.0,1.0,3.0,12.0,3.0,5.0
145,2.0,6.0,4.0,8.0,8.0,1.0,2.0,8.0,2.0,1.0,3.0,10.0,2.0,4.0
146,2.0,6.0,4.0,8.0,7.0,1.0,2.0,7.0,1.0,1.0,3.0,9.0,2.0,3.0
147,2.0,5.0,4.0,8.0,7.0,1.0,3.0,7.0,1.5,1.0,2.0,7.0,2.0,4.0
148,1.0,5.0,4.0,6.0,6.0,0.0,2.0,6.0,1.0,1.0,2.0,7.0,2.0,3.0
149,1.0,4.0,3.0,5.0,5.0,0.0,2.0,5.0,1.0,1.0,1.0,6.0,1.0,2.0
150,1.0,3.0,2.0,4.0,5.0,0.0,2.0,4.0,1.0,1.0,1.0,5.0,1.0,2.0
151,1.0,3.0,1.0,4.0,5.0,0.0,2.0,3.0,1.0,0.0,1.0,5.0,1.0,2.0
152,1.0,3.0,2.0,3.0,5.0,0.0,2.0,4.0,1.0,0.0,1.0,5.0,1.0,2.0
153,1.0,3.0,2.0,4.0,5.0,0.0,1.0,4.0,0.0,0.0,1.0,4.0,1.0,1.0
154,1.0,3.0,3.0,5.0,5.0,0.0,2.0,3.0,1.0,0.0,1.0,4.0,1.0,1.0
155,2.0,4.5,2.0,6.0,8.5,1.0,2.0,3.0,0.0,1.0,1.0,4.0,1.0,1.0
156,4.0,3.0,2.0,6.0,11.0,1.0,1.0,3.0,0.0,1.0,1.0,4.0,1.0,1.0
157,6.0,4.0,2.0,11.0,13.0,1.0,2.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0
158,7.0,4.0,4.0,14.0,15.0,1.0,3.0,4.0,1.0,1.0,1.0,6.0,1.0,2.0
159,11.0,8.0,6.0,19.0,22.0,3.0,3.0,5.0,1.0,2.0,3.0,8.0,2.0,3.0
160,18.0,13.0,10.0,27.0,31.5,7.0,5.0,6.0,1.0,2.0,3.0,10.0,2.0,4.0
161,23.0,11.0,10.0,40.0,47.0,14.5,8.0,6.5,1.0,3.0,3.5,12.0,2.5,3.0
162,28.0,15.0,11.0,45.0,60.0,21.5,11.0,8.0,2.0,3.0,5.0,17.0,4.5,5.0
163,37.0,17.0,14.0,55.0,72.0,33.5,11.0,10.0,3.0,5.0,7.0,18.5,8.0,6.0
164,36.0,26.0,17.0,62.0,83.0,47.0,13.0,11.0,4.0,5.0,12.0,25.0,11.0,6.0
165,34.0,22.0,25.0,69.0,85.0,49.0,16.0,9.0,3.0,4.0,20.0,32.0,18.0,8.0
166,28.0,28.0,30.0,76.0,93.0,52.0,23.0,11.0,4.0,5.0,30.0,42.0,26.0,9.0
167,31.0,28.0,27.0,71.0,87.0,49.0,27.0,12.0,4.0,7.0,27.0,44.0,32.0,11.0
168,31.0,32.0,30.0,79.0,93.0,58.0,30.0,11.0,5.0,7.0,28.5,45.0,32.0,12.0
169,36.5,39.0,35.0,87.5,101.5,67.0,36.5,12.0,6.0,9.0,30.0,51.5,41.0,16.0
170,36.0,39.0,38.0,93.0,103.0,72.0,43.0,11.0,7.0,9.0,37.0,55.0,48.0,25.0
171,40.0,44.0,43.0,91.0,106.0,74.0,45.0,11.0,9.0,9.0,41.0,54.0,47.0,24.0
172,41.0,53.0,45.0,92.0,104.0,77.0,47.0,12.0,11.0,9.0,41.0,54.0,45.0,26.0
173,45.0,59.5,43.5,94.5,107.5,83.0,49.0,11.0,9.0,11.0,41.0,54.5,44.5,21.5
174,37.0,50.5,39.0,93.5,101.5,83.0,48.0,11.0,9.0,11.0,39.0,54.0,46.0,25.0
175,39.0,45.0,42.0,76.0,84.0,63.0,39.0,13.0,10.0,13.0,37.0,55.0,47.0,27.0
176,38.0,43.0,46.5,70.0,77.5,55.5,32.0,13.0,10.0,12.0,39.0,56.0,47.0,26.0
177,39.0,45.0,49.0,65.0,74.0,48.0,32.0,14.0,9.0,13.0,37.0,55.0,45.0,28.0
178,41.0,44.0,47.0,65.0,72.0,48.0,29.0,14.0,11.0,13.0,37.0,59.0,47.0,28.0
179,39.5,41.0,49.0,64.0,70.0,43.5,25.0,14.0,10.0,13.0,35.0,58.0,45.0,29.0
180,37.0,40.0,48.0,64.0,68.0,44.0,25.0,14.0,11.0,13.0,35.0,60.0,46.0,30.0
181,38.0,41.0,49.0,67.0,69.0,44.0,26.0,13.0,11.0,14.0,34.0,62.0,48.0,30.0
182,39.0,40.0,51.0,67.0,71.0,45.0,25.0,14.0,11.0,13.0,35.0,61.0,50.0,31.0
183,39.5,41.0,52.0,67.0,68.0,41.0,24.0,14.0,12.0,14.0,34.0,61.0,50.0,32.0
184,40.5,42.0,51.0,69.0,70.0,43.0,25.0,15.0,12.0,16.0,34.0,62.0,51.0,31.5
185,43.0,44.0,58.0,72.0,73.0,47.0,26.0,14.0,13.0,15.0,35.0,64.0,52.0,34.0
186,39.5,45.0,57.0,72.0,76.0,50.0,26.0,14.0,15.0,16.5,37.0,65.5,56.0,33.5
