,21,31,32,41,42,51,52,53,54,55,56,61,71,81,82,111,112,121
89,40.0,51.0,35.0,127.0,74.0,97.0,66.0,71.5,63.5,95.0,64.0,22.0,26.0,24.0,4.0,62.0,49.0,18.0
90,40.0,51.0,36.0,134.0,77.0,105.0,69.0,75.0,66.0,101.0,66.0,23.0,28.0,24.0,4.0,62.0,52.0,19.0
91,39.0,53.0,37.0,134.0,73.0,101.0,66.0,68.5,62.0,90.5,66.0,21.0,29.5,25.0,4.0,64.0,54.0,18.0
92,39.0,53.0,38.0,138.5,75.0,105.0,70.0,71.5,65.0,95.5,65.0,22.0,29.5,26.0,5.0,66.0,56.0,19.0
93,45.0,56.0,38.5,138.5,76.0,107.0,71.0,78.5,69.0,92.0,68.5,24.0,30.5,26.0,4.0,70.0,58.5,18.5
94,44.0,55.0,39.0,142.0,82.0,109.0,71.0,72.0,68.0,95.0,73.0,24.0,31.0,26.0,4.0,68.0,60.0,19.0
95,45.0,58.0,40.0,142.0,79.5,106.5,70.0,71.5,66.0,94.5,66.5,24.0,30.0,26.0,5.0,70.0,60.0,19.0
96,43.5,57.0,41.0,149.0,78.5,109.0,71.0,74.0,68.0,92.5,71.0,24.0,30.0,28.0,5.0,68.5,58.0,19.0
97,46.0,57.5,41.0,142.5,81.0,108.5,71.5,77.5,68.0,96.5,66.5,25.0,31.0,28.0,5.0,70.0,58.0,21.0
98,46.0,58.0,43.0,142.0,83.0,111.0,71.5,73.5,68.5,100.0,67.0,24.0,34.5,27.0,5.0,72.0,61.0,21.0
99,44.0,58.0,41.5,144.5,79.5,111.0,69.0,72.0,67.0,97.5,65.0,23.0,34.0,29.0,6.0,74.0,66.5,21.0
100,45.5,60.0,45.5,147.5,82.0,115.5,72.0,74.5,72.0,95.5,68.0,26.0,36.0,31.0,5.0,78.0,71.5,22.0
101,48.0,64.0,49.0,151.0,80.0,115.0,73.0,73.0,71.0,98.0,71.0,26.0,38.0,30.0,6.0,85.0,80.0,24.0
102,49.0,64.0,49.0,155.0,85.0,122.0,73.0,77.5,76.5,94.5,71.5,25.5,39.0,32.0,6.0,83.5,80.5,25.0
103,46.0,66.0,50.0,158.0,86.0,118.0,72.0,72.0,69.0,94.0,69.0,24.0,41.0,36.0,5.0,88.0,80.0,24.0
104,48.0,64.0,50.0,173.0,88.0,131.0,75.0,72.0,74.0,101.0,73.0,27.0,42.0,38.0,7.0,89.0,82.0,25.0
105,46.5,64.0,52.0,175.5,94.0,126.0,74.0,69.5,77.5,93.0,67.0,27.0,43.0,36.0,7.0,93.0,93.0,28.0
106,46.0,63.0,54.0,178.0,95.0,131.0,77.0,78.0,78.0,99.0,80.0,27.0,44.0,38.0,7.0,101.0,104.0,30.0
107,44.0,62.0,52.0,172.0,83.0,127.0,74.0,71.0,78.0,96.0,73.0,25.0,49.0,41.0,7.0,114.0,117.0,32.0
108,42.0,61.0,53.0,175.0,100.0,134.0,74.0,64.0,80.0,97.0,73.0,27.0,52.0,41.0,7.0,122.0,123.0,33.0
109,43.5,58.5,51.0,176.0,106.5,137.5,70.0,66.5,82.0,87.5,68.0,28.0,52.0,42.0,7.0,130.0,133.0,32.0
110,43.0,58.0,51.5,181.5,95.0,140.0,68.5,70.0,84.5,94.5,71.0,27.0,52.5,38.5,7.0,130.0,129.5,31.0
111,41.0,58.0,51.0,174.0,87.0,129.0,71.0,65.0,78.0,95.0,68.0,28.0,52.0,38.0,7.0,135.0,134.0,33.0
112,41.0,57.0,47.0,176.0,97.0,135.0,71.0,66.0,76.0,99.0,69.0,30.0,55.0,39.0,7.0,134.0,135.0,33.0
113,41.0,58.0,49.0,170.5,85.5,135.5,71.0,60.5,77.0,91.0,68.5,28.0,53.0,40.0,7.0,133.0,126.5,30.5
114,43.0,59.0,51.0,168.5,86.0,128.5,67.5,64.0,70.0,101.5,66.5,29.5,52.0,38.5,6.5,130.0,133.0,31.0
115,43.0,61.0,54.0,163.5,84.5,125.5,66.5,69.0,67.0,91.0,64.0,28.0,50.0,40.0,7.0,123.0,124.0,30.5
116,43.0,63.0,54.0,160.0,79.0,117.0,67.0,65.0,65.0,116.0,64.0,25.0,47.0,39.0,6.0,110.0,108.0,28.0
