,11,21,22,31,32,41,42,51,52,61,62,71,81,82,101,111,112,121,122
91,17.0,35.0,67.0,47.0,17.0,44.0,29.0,15.0,4.0,20.0,6.0,28.0,57.0,46.0,34.0,21.0,4.0,22.0,5.0
92,17.0,38.0,73.0,50.0,19.0,47.0,32.0,16.0,4.0,20.0,6.0,30.0,59.0,46.0,34.0,20.0,4.0,22.0,5.0
93,20.0,42.5,77.0,56.0,22.0,45.5,31.0,15.0,4.0,21.0,6.0,28.0,58.0,43.5,35.0,20.0,4.0,22.0,6.0
94,21.0,43.0,79.5,52.0,22.0,46.0,30.0,16.0,4.0,21.0,7.0,28.0,54.5,44.5,37.0,20.0,4.0,21.5,5.0
95,19.0,39.0,66.5,47.0,19.0,47.0,33.0,15.0,4.0,20.0,6.0,28.0,58.5,45.0,37.0,19.5,4.0,21.0,5.0
96,18.0,39.0,68.0,48.0,20.0,50.0,34.0,15.0,5.0,21.0,7.0,30.0,56.0,47.0,36.0,20.0,4.0,21.0,5.0
97,19.0,40.0,74.0,50.0,20.0,49.0,33.0,17.0,5.0,23.0,7.0,29.0,57.0,49.0,38.0,20.0,4.0,21.0,5.0
98,19.0,41.0,70.0,47.0,18.0,49.0,33.0,17.0,5.0,22.0,7.0,30.0,61.0,49.0,36.0,18.0,4.0,21.0,6.0
99,18.0,35.0,59.0,44.0,17.0,54.0,40.0,18.0,5.0,20.0,7.0,27.0,67.0,52.0,37.0,19.0,4.0,25.0,6.0
100,19.0,36.0,63.0,42.0,17.0,56.0,44.0,17.0,6.0,24.0,8.0,29.5,63.0,54.0,38.0,20.0,4.0,24.0,8.0
101,19.0,38.5,66.5,42.0,19.0,59.0,45.0,18.0,6.0,24.0,7.0,28.0,69.5,56.0,39.0,20.0,4.0,27.0,9.0
102,21.0,38.0,62.0,41.0,17.0,60.0,46.0,20.0,7.0,24.0,7.0,29.0,75.0,65.0,37.0,21.0,4.0,27.0,8.0
103,17.0,35.0,56.0,37.0,16.0,70.0,59.0,18.5,6.0,21.0,7.0,27.0,82.5,71.0,34.5,23.0,5.0,29.5,11.0
104,18.0,36.5,58.0,40.0,17.0,70.0,60.0,18.0,7.0,22.0,7.0,30.0,84.0,73.5,35.0,22.0,5.5,32.0,12.0
105,19.0,37.0,58.0,38.0,17.0,75.0,67.0,21.0,7.0,22.0,7.0,31.5,94.5,85.0,34.0,25.0,5.0,34.0,15.0
106,20.0,37.0,56.0,38.0,19.0,74.0,66.0,20.0,7.0,23.0,8.0,33.0,89.0,81.0,35.0,25.0,6.0,36.0,19.0
107,18.0,35.0,52.0,35.0,18.0,77.0,69.0,21.0,8.0,22.0,8.0,32.0,92.0,85.0,33.0,26.0,8.0,44.0,28.0
108,21.0,41.0,55.0,38.0,20.0,78.0,70.0,22.0,8.0,24.0,7.0,34.0,86.0,80.0,35.0,28.0,9.0,44.0,30.0
109,22.0,44.0,59.0,36.0,20.0,75.0,71.0,24.0,9.0,23.0,8.0,34.0,84.0,78.0,37.0,30.0,9.0,52.0,39.0
110,24.0,50.0,64.5,40.0,21.0,73.0,69.0,23.5,9.0,24.0,9.0,33.0,80.0,75.5,37.0,30.5,10.0,51.5,37.5
111,28.0,57.0,70.0,40.0,22.0,75.0,74.0,23.0,11.0,24.0,9.0,36.0,82.0,78.0,43.0,34.0,12.0,58.0,48.0
112,28.5,65.0,81.0,45.0,27.0,76.0,75.0,25.0,13.0,25.0,9.0,34.0,77.5,75.0,41.0,32.0,13.0,59.0,54.0
113,31.0,70.0,92.0,46.0,27.0,71.0,69.0,25.0,10.0,25.5,8.0,31.0,68.0,67.5,39.0,34.0,14.0,56.5,48.0
114,33.0,75.0,95.0,47.0,27.0,68.0,60.0,24.0,10.0,24.0,8.0,32.0,70.0,68.0,39.0,31.0,12.0,49.0,36.0
115,30.0,72.0,90.0,45.0,26.0,62.0,52.0,22.0,7.0,21.0,6.0,33.0,72.0,64.0,38.0,29.0,11.0,43.0,25.0
116,28.5,67.0,81.5,44.0,24.0,59.0,47.5,19.5,6.5,20.0,6.0,29.0,62.0,53.0,34.0,25.0,7.0,32.0,14.0
117,24.0,55.0,67.0,42.0,21.0,49.0,38.0,18.0,5.0,20.0,5.0,26.0,55.0,47.0,32.0,21.0,5.0,23.0,6.0
118,22.0,44.5,55.0,39.0,18.0,42.5,28.0,15.0,4.0,17.0,4.0,26.0,49.0,38.0,30.0,18.0,3.0,19.0,5.0
119,18.0,35.0,45.0,35.0,15.0,40.0,24.0,15.0,3.0,17.0,4.0,22.0,46.0,35.0,28.0,17.0,3.0,17.0,3.0
120,17.0,30.0,40.0,34.0,12.0,37.0,21.0,14.0,3.0,15.0,4.0,25.0,44.0,33.0,25.0,17.0,2.0,16.0,3.0
