out,in
2000.0,1916.0
1852.0,1756.0
2024.0,1852.0
2056.0,1956.0
2028.0,1944.0
2060.0,2148.0
2364.0,2180.0
2160.0,2252.0
2192.0,2036.0
2263.0,2095.0
2644.0,2136.0
2156.0,2340.0
2184.0,2304.0
2312.0,2388.0
2424.0,2460.0
2516.0,2568.0
2428.0,2856.0
2556.0,2732.0
2664.0,2896.0
2748.0,3076.0
2780.0,3196.0
2628.0,3228.0
2836.0,3572.0
2868.0,3472.0
2780.0,3492.0
2596.0,3596.0
2672.0,3548.0
2500.0,3316.0
2300.0,3332.0
1888.0,2872.0
1992.0,2376.0
1764.0,2264.0
1640.0,2612.0
1416.0,2492.0
1548.0,2140.0
1304.0,1700.0
1336.0,1492.0
1412.0,1596.0
1332.0,1336.0
896.0,1244.0
928.0,1012.0
940.0,948.0
1000.0,1072.0
908.0,1020.0
788.0,804.0
896.0,868.0
768.0,776.0
828.0,816.0
972.0,828.0
1160.0,908.0
1300.0,796.0
892.0,676.0
756.0,608.0
552.0,644.0
392.0,508.0
404.0,416.0
324.0,412.0
248.0,388.0
200.0,304.0
176.0,344.0
200.0,208.0
132.0,220.0
108.0,188.0
160.0,216.0
112.0,136.0
148.0,116.0
104.0,80.0
92.0,136.0
88.0,116.0
96.0,100.0
60.0,96.0
128.0,76.0
116.0,116.0
216.0,112.0
264.0,132.0
240.0,180.0
260.0,212.0
288.0,176.0
408.0,304.0
396.0,504.0
460.0,384.0
492.0,452.0
536.0,396.0
552.0,496.0
656.0,656.0
756.0,676.0
888.0,948.0
1188.0,860.0
1376.0,992.0
1232.0,1128.0
1508.0,1336.0
1484.0,1336.0
1588.0,1432.0
1752.0,1308.0
1784.0,1488.0
1792.0,1568.0
1680.0,1736.0
1660.0,1696.0
2056.0,1848.0
1992.0,1976.0
2212.0,1792.0
2044.0,2036.0
2148.0,2120.0
2180.0,1964.0
2268.0,2156.0
2236.0,2216.0
2336.0,2136.0
2372.0,2260.0
2316.0,2188.0
2312.0,2432.0
2380.0,2628.0
2152.0,2132.0
2372.0,2516.0
2212.0,2380.0
2232.0,2480.0
2296.0,2288.0
2088.0,2412.0
2192.0,2312.0
2116.0,2200.0
2104.0,2252.0
2108.0,2236.0
2024.0,2236.0
2128.0,2144.0
2156.0,1980.0
1792.0,1868.0
1680.0,1784.0
1408.0,1464.0
1424.0,1480.0
1356.0,1340.0
1124.0,1304.0
1248.0,1232.0
1336.0,1276.0
1176.0,1320.0
1268.0,1312.0
1204.0,1336.0
1004.0,1240.0
844.0,1020.0
832.0,920.0
772.0,916.0
952.0,940.0
864.0,816.0
860.0,876.0
828.0,852.0
940.0,824.0
904.0,932.0
844.0,1012.0
812.0,940.0
660.0,800.0
748.0,800.0
700.0,736.0
644.0,688.0
588.0,688.0
532.0,648.0
472.0,436.0
420.0,460.0
352.0,444.0
288.0,312.0
236.0,276.0
296.0,272.0
152.0,232.0
148.0,172.0
164.0,212.0
156.0,164.0
104.0,160.0
92.0,124.0
72.0,100.0
92.0,124.0
84.0,144.0
68.0,124.0
108.0,96.0
88.0,104.0
104.0,108.0
132.0,120.0
148.0,148.0
184.0,324.0
232.0,248.0
196.0,196.0
228.0,308.0
272.0,192.0
232.0,176.0
208.0,256.0
320.0,152.0
352.0,332.0
500.0,328.0
604.0,436.0
696.0,484.0
756.0,516.0
816.0,760.0
976.0,800.0
936.0,896.0
1124.0,1040.0
1056.0,1060.0
1328.0,1108.0
1232.0,1224.0
1428.0,1312.0
1368.0,1432.0
1696.0,1688.0
1584.0,1652.0
1796.0,1732.0
1896.0,1736.0
2024.0,1884.0
1993.0,2117.0
2124.0,2332.0
2212.0,2464.0
2372.0,2364.0
2372.0,2476.0
2340.0,2204.0
2092.0,2236.0
2380.0,2252.0
2188.0,2208.0
2288.0,2196.0
2140.0,1976.0
2308.0,1956.0
2008.0,1956.0
2188.0,1852.0
1860.0,1840.0
1816.0,1992.0
1868.0,2032.0
1572.0,1840.0
1548.0,1840.0
1448.0,1612.0
1340.0,1428.0
1220.0,1504.0
1168.0,1280.0
1100.0,1204.0
1148.0,1136.0
1204.0,1096.0
1040.0,1360.0
1260.0,1232.0
1072.0,1088.0
948.0,1044.0
1064.0,1024.0
928.0,996.0
712.0,784.0
708.0,896.0
756.0,868.0
736.0,680.0
628.0,756.0
676.0,784.0
552.0,652.0
544.0,588.0
468.0,456.0
332.0,448.0
300.0,276.0
236.0,228.0
196.0,208.0
140.0,248.0
124.0,188.0
44.0,152.0
104.0,132.0
56.0,120.0
72.0,128.0
84.0,44.0
72.0,124.0
88.0,88.0
56.0,76.0
44.0,72.0
48.0,84.0
68.0,96.0
108.0,124.0
84.0,216.0
132.0,172.0
196.0,224.0
192.0,328.0
196.0,396.0
384.0,364.0
616.0,500.0
712.0,548.0
1068.0,560.0
1588.0,812.0
2216.0,1364.0
2624.0,2072.0
2928.0,2104.0
3396.0,2256.0
3388.0,2616.0
3352.0,3092.0
3240.0,2956.0
3200.0,2504.0
3252.0,2172.0
3212.0,2604.0
3140.0,2496.0
2332.0,1796.0
2004.0,1836.0
2008.0,1956.0
1864.0,1848.0
1684.0,1624.0
1944.0,1684.0
1940.0,1656.0
1760.0,1800.0
1616.0,1624.0
1628.0,1872.0
1908.0,1704.0
1656.0,1796.0
1780.0,1760.0
2020.0,1920.0
2060.0,1976.0
1972.0,1876.0
2053.0,1933.0
2220.0,2148.0
1869.0,1976.0
2036.0,1996.0
1940.0,2100.0
2372.0,2304.0
2332.0,2496.0
2340.0,2408.0
2296.0,2288.0
2220.0,2668.0
2372.0,2680.0
2524.0,2904.0
2752.0,3388.0
3036.0,3540.0
2812.0,3668.0
2788.0,3892.0
3012.0,3632.0
3192.0,3736.0
2796.0,3560.0
2216.0,3852.0
1900.0,3012.0
1724.0,2988.0
1440.0,2468.0
1364.0,2132.0
1416.0,1884.0
1404.0,1836.0
1252.0,1612.0
1160.0,1372.0
884.0,1144.0
836.0,1092.0
896.0,1144.0
852.0,1256.0
772.0,932.0
930.0,1011.0
856.0,872.0
788.0,792.0
780.0,836.0
696.0,1176.0
640.0,740.0
760.0,684.0
476.0,648.0
428.0,508.0
308.0,376.0
248.0,364.0
164.0,288.0
148.0,248.0
160.0,204.0
72.0,160.0
104.0,172.0
96.0,128.0
84.0,112.0
88.0,112.0
116.0,160.0
96.0,164.0
72.0,68.0
76.0,112.0
64.0,76.0
88.0,100.0
68.0,132.0
92.0,196.0
120.0,200.0
196.0,220.0
240.0,304.0
188.0,324.0
352.0,364.0
584.0,488.0
868.0,608.0
924.0,536.0
1528.0,828.0
2268.0,1180.0
2760.0,2044.0
3140.0,2168.0
3168.0,2124.0
3200.0,2688.0
3344.0,3048.0
3132.0,2756.0
3088.0,2820.0
3212.0,2476.0
3060.0,2424.0
2952.0,2480.0
2600.0,2212.0
2332.0,2072.0
2064.0,1852.0
1952.0,1840.0
1984.0,1872.0
1960.0,1836.0
1828.0,1852.0
1768.0,1836.0
1744.0,1700.0
1796.0,1904.0
1768.0,1932.0
1844.0,1964.0
1888.0,1968.0
2016.0,2044.0
2172.0,2092.0
2144.0,2048.0
2147.0,2096.0
2328.0,1972.0
2356.0,2100.0
2372.0,2136.0
2031.0,2259.0
2220.0,2432.0
2404.0,2700.0
2332.0,2616.0
2364.0,2520.0
2436.0,2692.0
2532.0,2768.0
2732.0,2884.0
2780.0,3204.0
2916.0,3816.0
2828.0,3576.0
2816.0,3620.0
2868.0,3472.0
3132.0,3524.0
2732.0,3852.0
2412.0,3836.0
2196.0,3608.0
1940.0,2852.0
2004.0,2560.0
1464.0,2860.0
1284.0,2224.0
1428.0,1844.0
1456.0,1824.0
1248.0,1660.0
1380.0,1372.0
1004.0,1176.0
992.0,1132.0
928.0,920.0
960.0,580.0
1088.0,1040.0
860.0,932.0
900.0,808.0
896.0,944.0
1116.0,884.0
792.0,800.0
632.0,672.0
584.0,712.0
468.0,536.0
412.0,448.0
280.0,332.0
252.0,276.0
168.0,248.0
164.0,156.0
116.0,172.0
144.0,136.0
120.0,124.0
92.0,104.0
80.0,116.0
64.0,64.0
84.0,72.0
52.0,88.0
68.0,76.0
52.0,72.0
80.0,104.0
80.0,132.0
116.0,104.0
148.0,164.0
124.0,232.0
232.0,268.0
192.0,356.0
352.0,412.0
560.0,420.0
720.0,544.0
1048.0,612.0
1460.0,720.0
2112.0,1184.0
2764.0,1960.0
2880.0,2020.0
3400.0,2220.0
3480.0,2636.0
3352.0,3088.0
3320.0,2732.0
3228.0,2376.0
3204.0,2524.0
3240.0,2516.0
2440.0,2520.0
1976.0,2148.0
2172.0,1864.0
2160.0,1844.0
2084.0,2036.0
2186.0,1822.0
1800.0,1848.0
1882.0,1774.0
2044.0,2060.0
1920.0,1752.0
1960.0,1852.0
2028.0,2044.0
2208.0,2116.0
2142.0,2276.0
2208.0,2292.0
2364.0,2104.0
2516.0,2196.0
2190.0,2246.0
2300.0,2352.0
2340.0,2200.0
2104.0,2128.0
2352.0,2252.0
2408.0,2400.0
2092.0,2132.0
2264.0,2372.0
2076.0,2508.0
2640.0,2416.0
2380.0,2720.0
2492.0,3064.0
2700.0,3344.0
3036.0,3428.0
2996.0,3488.0
3044.0,3676.0
2792.0,3604.0
3220.0,3432.0
2856.0,2992.0
2444.0,3168.0
1852.0,2908.0
1896.0,2960.0
1508.0,2960.0
1596.0,2896.0
1452.0,2248.0
1388.0,2036.0
1400.0,1724.0
1208.0,1712.0
1108.0,1348.0
1016.0,1348.0
1008.0,1216.0
944.0,944.0
876.0,1012.0
1076.0,1092.0
1008.0,1124.0
1068.0,1024.0
1060.0,1012.0
880.0,948.0
748.0,920.0
